Ring AllReduce: 2 GPUs, 4194304 floats (16.8 MB)

impl                   size(MB)     time(us)  algbw(GB/s)  busbw(GB/s)
ring_allreduce             16.8        323.9        51.80        51.80   [PASS]

# CSV for plotting (ring_allreduce)
size_bytes,time_us,algbw_GBps,busbw_GBps
4096,206.5,0.020,0.020
16384,183.0,0.090,0.090
65536,180.4,0.363,0.363
262144,190.8,1.374,1.374
1048576,195.1,5.374,5.374
4194304,237.6,17.656,17.656
16777216,356.6,47.045,47.045
67108864,1001.0,67.045,67.045
268435456,2628.1,102.142,102.142
1073741824,9098.0,118.020,118.020
