Ring AllReduce: 2 GPUs, 4194304 floats (16.8 MB)

impl                   size(MB)     time(us)  algbw(GB/s)  busbw(GB/s)
ring_allreduce             16.8       2999.0         5.59         5.59   [PASS]

# CSV for plotting (ring_allreduce)
size_bytes,time_us,algbw_GBps,busbw_GBps
4096,306.5,0.013,0.013
16384,179.8,0.091,0.091
65536,182.9,0.358,0.358
262144,199.7,1.313,1.313
1048576,377.6,2.777,2.777
4194304,925.0,4.535,4.535
16777216,3001.0,5.591,5.591
67108864,11303.5,5.937,5.937
268435456,43959.7,6.106,6.106
1073741824,174725.6,6.145,6.145
